"","V1"
"inaug_GeorgeWashington_1_2",12
"inaug_GeorgeWashington_1_3",12
"inaug_GeorgeWashington_1_4",10
"inaug_GeorgeWashington_1_5",10
"inaug_GeorgeWashington_1_6",10
"inaug_GeorgeWashington_1_7",10
"inaug_GeorgeWashington_1_8",10
"inaug_GeorgeWashington_1_9",12
"inaug_GeorgeWashington_1_10",12
"inaug_GeorgeWashington_1_11",11
"inaug_GeorgeWashington_1_12",12
"inaug_GeorgeWashington_1_13",12
"inaug_GeorgeWashington_1_14",12
"inaug_GeorgeWashington_1_15",12
"inaug_GeorgeWashington_1_16",12
"inaug_GeorgeWashington_1_17",13
"inaug_GeorgeWashington_1_18",13
"inaug_GeorgeWashington_1_19",3
"inaug_GeorgeWashington_1_20",1
"inaug_GeorgeWashington_1_21",11
"inaug_GeorgeWashington_1_22",11
"inaug_GeorgeWashington_1_23",5
"inaug_GeorgeWashington_1_24",8
"inaug_GeorgeWashington_1_25",12
"inaug_GeorgeWashington_1_26",10
"inaug_GeorgeWashington_1_27",10
"inaug_GeorgeWashington_1_28",5
"inaug_GeorgeWashington_1_29",9
"inaug_GeorgeWashington_1_30",9
"inaug_GeorgeWashington_2_2",10
"inaug_GeorgeWashington_2_3",10
"inaug_JohnAdams_1_2",13
"inaug_JohnAdams_1_3",13
"inaug_JohnAdams_1_4",13
"inaug_JohnAdams_1_5",9
"inaug_JohnAdams_1_6",14
"inaug_JohnAdams_1_7",14
"inaug_JohnAdams_1_8",13
"inaug_JohnAdams_1_9",11
"inaug_JohnAdams_1_10",12
"inaug_JohnAdams_1_11",12
"inaug_JohnAdams_1_12",12
"inaug_JohnAdams_1_13",10
"inaug_JohnAdams_1_14",5
"inaug_JohnAdams_1_15",11
"inaug_JohnAdams_1_16",12
"inaug_JohnAdams_1_17",12
"inaug_JohnAdams_1_18",8
"inaug_JohnAdams_1_19",8
"inaug_JohnAdams_1_20",13
"inaug_JohnAdams_1_21",13
"inaug_JohnAdams_1_22",13
"inaug_JohnAdams_1_23",11
"inaug_JohnAdams_1_24",13
"inaug_JohnAdams_1_25",7
"inaug_JohnAdams_1_26",7
"inaug_JohnAdams_1_27",5
"inaug_JohnAdams_1_28",7
"inaug_JohnAdams_1_29",7
"inaug_JohnAdams_1_30",7
"inaug_JohnAdams_1_31",13
"inaug_JohnAdams_1_32",13
"inaug_JohnAdams_1_33",13
"inaug_JohnAdams_1_34",13
"inaug_JohnAdams_1_35",3
"inaug_JohnAdams_1_36",5
"inaug_JohnAdams_1_37",11
"inaug_JohnAdams_1_38",11
"inaug_JohnAdams_1_39",11
"inaug_JohnAdams_1_40",8
"inaug_JohnAdams_1_41",13
"inaug_JohnAdams_1_42",13
"inaug_JohnAdams_1_43",13
"inaug_JohnAdams_1_44",7
"inaug_JohnAdams_1_45",7
"inaug_JohnAdams_1_46",7
"inaug_JohnAdams_1_47",7
"inaug_JohnAdams_1_48",7
"inaug_JohnAdams_1_49",7
"inaug_JohnAdams_1_50",7
"inaug_JohnAdams_1_51",10
"inaug_JohnAdams_1_52",10
"inaug_JohnAdams_1_53",10
"inaug_JohnAdams_1_54",10
"inaug_ThomasJefferson_1_2",10
"inaug_ThomasJefferson_1_3",10
"inaug_ThomasJefferson_1_4",10
"inaug_ThomasJefferson_1_5",1
"inaug_ThomasJefferson_1_6",4
"inaug_ThomasJefferson_1_7",5
"inaug_ThomasJefferson_1_8",10
"inaug_ThomasJefferson_1_9",7
"inaug_ThomasJefferson_1_10",13
"inaug_ThomasJefferson_1_11",15
"inaug_ThomasJefferson_1_12",15
"inaug_ThomasJefferson_1_13",6
"inaug_ThomasJefferson_1_14",13
"inaug_ThomasJefferson_1_15",5
"inaug_ThomasJefferson_1_16",7
"inaug_ThomasJefferson_1_17",15
"inaug_ThomasJefferson_1_18",13
"inaug_ThomasJefferson_1_19",6
"inaug_ThomasJefferson_1_20",6
"inaug_ThomasJefferson_1_21",4
"inaug_ThomasJefferson_1_22",4
"inaug_ThomasJefferson_1_23",8
"inaug_ThomasJefferson_1_24",1
"inaug_ThomasJefferson_1_25",9
"inaug_ThomasJefferson_1_26",1
"inaug_ThomasJefferson_1_27",11
"inaug_ThomasJefferson_1_28",7
"inaug_ThomasJefferson_1_29",8
"inaug_ThomasJefferson_1_30",13
"inaug_ThomasJefferson_1_31",13
"inaug_ThomasJefferson_1_32",13
"inaug_ThomasJefferson_1_33",13
"inaug_ThomasJefferson_1_34",13
"inaug_ThomasJefferson_1_35",13
"inaug_ThomasJefferson_1_36",10
"inaug_ThomasJefferson_1_37",10
"inaug_ThomasJefferson_1_38",7
"inaug_ThomasJefferson_1_39",7
"inaug_ThomasJefferson_1_40",11
"inaug_ThomasJefferson_1_41",11
"inaug_ThomasJefferson_1_42",11
"inaug_ThomasJefferson_1_43",5
"inaug_ThomasJefferson_1_44",3
"inaug_ThomasJefferson_1_45",9
"inaug_ThomasJefferson_1_46",9
"inaug_ThomasJefferson_1_47",9
"inaug_ThomasJefferson_1_48",9
"inaug_ThomasJefferson_1_49",14
"inaug_ThomasJefferson_1_50",6
